Ensembl Id	Gene Name	Description	Entrez	Genbank	UniGene
ENSG00000010030	ETV7	ets variant 7 [Source:HGNC Symbol;Acc:18160]	51513	AAD43250	Hs.272398
ENSG00000010278	CD9	CD9 molecule [Source:HGNC Symbol;Acc:1709]	928		
ENSG00000010295	IFFO1	intermediate filament family orphan 1 [Source:HGNC Symbol;Acc:24970]	25900	BAG61013	Hs.628927
ENSG00000010310	GIPR	gastric inhibitory polypeptide receptor [Source:HGNC Symbol;Acc:4271]	2696	AAI43301	Hs.658534
ENSG00000010704	HFE	hemochromatosis [Source:HGNC Symbol;Acc:4886]	3077		Hs.738117
ENSG00000010810	FYN	"FYN oncogene related to SRC, FGR, YES [Source:HGNC Symbol;Acc:4037]"	2534		Hs.623374
ENSG00000010932	FMO1	flavin containing monooxygenase 1 [Source:HGNC Symbol;Acc:3769]	2326	BAH12280	Hs.1424
ENSG00000011422	PLAUR	"plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:9053]"	5329		
ENSG00000011426	ANLN	"anillin, actin binding protein [Source:HGNC Symbol;Acc:14082]"	54443		Hs.62180
ENSG00000012124	CD22	CD22 molecule [Source:HGNC Symbol;Acc:1643]	933	AAI09307	Hs.716252
ENSG00000013588	GPRC5A	"G protein-coupled receptor, family C, group 5, member A [Source:HGNC Symbol;Acc:9836]"	9052		Hs.745132
ENSG00000013725	CD6	CD6 molecule [Source:HGNC Symbol;Acc:1691]	923	EAW73920	
ENSG00000014216	CAPN1	"calpain 1, (mu/I) large subunit [Source:HGNC Symbol;Acc:1476]"	823	CAA27881	Hs.735492
ENSG00000015285	WAS	Wiskott-Aldrich syndrome [Source:HGNC Symbol;Acc:12731]	7454	AAA60381	Hs.2157
ENSG00000015413	DPEP1	dipeptidase 1 (renal) [Source:HGNC Symbol;Acc:3002]	1800	BAA02430	Hs.109
ENSG00000016602	CLCA4	chloride channel accessory 4 [Source:HGNC Symbol;Acc:2018]	22802	BAH11591	Hs.567422
ENSG00000017260	ATP2C1	"ATPase, Ca++ transporting, type 2C, member 1 [Source:HGNC Symbol;Acc:13211]"	27032		Hs.734775
ENSG00000017427	IGF1	insulin-like growth factor 1 (somatomedin C) [Source:HGNC Symbol;Acc:5464]	3479	AAA96152	Hs.708628
ENSG00000018236	CNTN1	contactin 1 [Source:HGNC Symbol;Acc:2171]	1272		Hs.741112
ENSG00000019186	CYP24A1	"cytochrome P450, family 24, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:2602]"	1591	AAA62379	Hs.89663
ENSG00000019582	CD74	"CD74 molecule, major histocompatibility complex, class II invariant chain [Source:HGNC Symbol;Acc:1697]"	972		Hs.436568
ENSG00000021355	SERPINB1	"serpin peptidase inhibitor, clade B (ovalbumin), member 1 [Source:HGNC Symbol;Acc:3311]"	1992	BAG60342	
ENSG00000021461	CYP3A43	"cytochrome P450, family 3, subfamily A, polypeptide 43 [Source:HGNC Symbol;Acc:17450]"	64816	AAG33014	Hs.306220
ENSG00000023287	RB1CC1	RB1-inducible coiled-coil 1 [Source:HGNC Symbol;Acc:15574]	9821		Hs.702264
ENSG00000023318	ERP44	endoplasmic reticulum protein 44 [Source:HGNC Symbol;Acc:18311]	23071	CAC87611	Hs.619196
ENSG00000025708	TYMP	thymidine phosphorylase [Source:HGNC Symbol;Acc:3148]	1890		Hs.685254
ENSG00000026103	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:11920]	355		Hs.623093
ENSG00000026559	KCNG1	"potassium voltage-gated channel, subfamily G, member 1 [Source:HGNC Symbol;Acc:6248]"	3755		Hs.735151
ENSG00000028137	TNFRSF1B	"tumor necrosis factor receptor superfamily, member 1B [Source:HGNC Symbol;Acc:11917]"	7133	ACF47651	Hs.619763
ENSG00000028528	SNX1	sorting nexin 1 [Source:HGNC Symbol;Acc:11172]	6642	EAW77666	Hs.703547
ENSG00000030066	NUP160	nucleoporin 160kDa [Source:HGNC Symbol;Acc:18017]	23279		Hs.744107
ENSG00000031823	RANBP3	RAN binding protein 3 [Source:HGNC Symbol;Acc:9850]	8498	BAH13589	Hs.619115
ENSG00000034152	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:6843]	5606	EAX02601	Hs.514012
ENSG00000035687	ADSS	adenylosuccinate synthase [Source:HGNC Symbol;Acc:292]	159	CAA47123	Hs.498313
ENSG00000036257	CUL3	cullin 3 [Source:HGNC Symbol;Acc:2553]	8452		Hs.372286
ENSG00000036448	MYOM2	myomesin 2 [Source:HGNC Symbol;Acc:7614]	9172		Hs.443683
ENSG00000036565	SLC18A1	"solute carrier family 18 (vesicular monoamine transporter), member 1 [Source:HGNC Symbol;Acc:10934]"	6570		Hs.158322
ENSG00000038274	MAT2B	"methionine adenosyltransferase II, beta [Source:HGNC Symbol;Acc:6905]"	27430		Hs.54642
ENSG00000038295	TLL1	tolloid-like 1 [Source:HGNC Symbol;Acc:11843]	7092		Hs.106513
ENSG00000038382	TRIO	trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:12303]	7204	EAX08044	Hs.653527
ENSG00000038427	VCAN	versican [Source:HGNC Symbol;Acc:2464]	1462	AAH50524	Hs.715773
ENSG00000039560	RAI14	retinoic acid induced 14 [Source:HGNC Symbol;Acc:14873]	26064		Hs.610855
ENSG00000041353	RAB27B	"RAB27B, member RAS oncogene family [Source:HGNC Symbol;Acc:9767]"	5874	AAC51194	Hs.25318
ENSG00000041880	PARP3	"poly (ADP-ribose) polymerase family, member 3 [Source:HGNC Symbol;Acc:273]"	10039		Hs.271742
ENSG00000042980	ADAM28	ADAM metallopeptidase domain 28 [Source:HGNC Symbol;Acc:206]	10863	BAG56894	Hs.639953
ENSG00000043143	JADE2	jade family PHD finger 2 [Source:HGNC Symbol;Acc:22984]	23338	BAA13245	Hs.732155
ENSG00000046604	DSG2	desmoglein 2 [Source:HGNC Symbol;Acc:3049]	1829		Hs.412597
ENSG00000046774	MAGEC2	"melanoma antigen family C, 2 [Source:HGNC Symbol;Acc:13574]"	51438	AAF34816	Hs.123536
ENSG00000047617	ANO2	anoctamin 2 [Source:HGNC Symbol;Acc:1183]	57101		
ENSG00000048828	FAM120A	family with sequence similarity 120A [Source:HGNC Symbol;Acc:13247]	23196	AAF72866	Hs.670381
ENSG00000049167	ERCC8	"excision repair cross-complementing rodent repair deficiency, complementation group 8 [Source:HGNC Symbol;Acc:3439]"	1161	BAG57960	
ENSG00000049192	ADAMTS6	"ADAM metallopeptidase with thrombospondin type 1 motif, 6 [Source:HGNC Symbol;Acc:222]"	11174		Hs.482291
ENSG00000049323	LTBP1	latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:6714]	4052		Hs.619315
ENSG00000049540	ELN	elastin [Source:HGNC Symbol;Acc:3327]	2006		Hs.647061
ENSG00000050165	DKK3	dickkopf WNT signaling pathway inhibitor 3 [Source:HGNC Symbol;Acc:2893]	27122		Hs.292156
ENSG00000050344	NFE2L3	"nuclear factor, erythroid 2-like 3 [Source:HGNC Symbol;Acc:7783]"	9603		Hs.404741
ENSG00000050628	PTGER3	prostaglandin E receptor 3 (subtype EP3) [Source:HGNC Symbol;Acc:9595]	5733	BAA19949	Hs.445000
ENSG00000050767	COL23A1	"collagen, type XXIII, alpha 1 [Source:HGNC Symbol;Acc:22990]"	91522	AAO18361	Hs.660026
ENSG00000052802	MSMO1	methylsterol monooxygenase 1 [Source:HGNC Symbol;Acc:10545]	6307		Hs.105269
ENSG00000053254	FOXN3	forkhead box N3 [Source:HGNC Symbol;Acc:1928]	1112	AAB58252	Hs.601559
ENSG00000054267	ARID4B	AT rich interactive domain 4B (RBP1-like) [Source:HGNC Symbol;Acc:15550]	51742	AAF28341	Hs.575782
ENSG00000055070	SZRD1	SUZ RNA binding domain containing 1 [Source:HGNC Symbol;Acc:30232]	26099		Hs.661864
ENSG00000055118	KCNH2	"potassium voltage-gated channel, subfamily H (eag-related), member 2 [Source:HGNC Symbol;Acc:6251]"	3757	AAZ40507	Hs.647099
ENSG00000055332	EIF2AK2	eukaryotic translation initiation factor 2-alpha kinase 2 [Source:HGNC Symbol;Acc:9437]	5610		Hs.738069
ENSG00000055917	PUM2	pumilio RNA-binding family member 2 [Source:HGNC Symbol;Acc:14958]	23369	AAI43551	Hs.713755
ENSG00000056661	PCGF2	polycomb group ring finger 2 [Source:HGNC Symbol;Acc:12929]	7703	EAW60527	Hs.371617
ENSG00000056998	GYG2	glycogenin 2 [Source:HGNC Symbol;Acc:4700]	8908		Hs.701629
ENSG00000057019	DCBLD2	"discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:24627]"	131566		Hs.707751
ENSG00000057149	SERPINB3	"serpin peptidase inhibitor, clade B (ovalbumin), member 3 [Source:HGNC Symbol;Acc:10569]"	6317	BAB21524	Hs.227948
ENSG00000057608	GDI2	GDP dissociation inhibitor 2 [Source:HGNC Symbol;Acc:4227]	2665		Hs.660588
ENSG00000057657	PRDM1	"PR domain containing 1, with ZNF domain [Source:HGNC Symbol;Acc:9346]"	639	BAG62889	Hs.611098
ENSG00000057757	PITHD1	PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1 [Source:HGNC Symbol;Acc:25022]	57095		Hs.706117
ENSG00000058063	ATP11B	"ATPase, class VI, type 11B [Source:HGNC Symbol;Acc:13553]"	23200	AAH33880	Hs.725751
ENSG00000058091	CDK14	cyclin-dependent kinase 14 [Source:HGNC Symbol;Acc:8883]	5218	AAG43234	Hs.740065
ENSG00000058262	SEC61A1	Sec61 alpha 1 subunit (S. cerevisiae) [Source:HGNC Symbol;Acc:18276]	29927		Hs.745144
ENSG00000058272	PPP1R12A	"protein phosphatase 1, regulatory subunit 12A [Source:HGNC Symbol;Acc:7618]"	4659		Hs.49582
ENSG00000059378	PARP12	"poly (ADP-ribose) polymerase family, member 12 [Source:HGNC Symbol;Acc:21919]"	64761		Hs.12646
ENSG00000059804	SLC2A3	"solute carrier family 2 (facilitated glucose transporter), member 3 [Source:HGNC Symbol;Acc:11007]"	6515		Hs.680728
ENSG00000060140	STYK1	serine/threonine/tyrosine kinase 1 [Source:HGNC Symbol;Acc:18889]	55359		Hs.24979
ENSG00000060491	OGFR	opioid growth factor receptor [Source:HGNC Symbol;Acc:15768]	11054		
ENSG00000062524	LTK	leukocyte receptor tyrosine kinase [Source:HGNC Symbol;Acc:6721]	4058		Hs.434481
ENSG00000063046	EIF4B	eukaryotic translation initiation factor 4B [Source:HGNC Symbol;Acc:3285]	1975	BAG61475	Hs.729387
ENSG00000063322	MED29	mediator complex subunit 29 [Source:HGNC Symbol;Acc:23074]	55588	BAG60318	Hs.669756
ENSG00000064042	LIMCH1	LIM and calponin homology domains 1 [Source:HGNC Symbol;Acc:29191]	22998	AAH68200	Hs.734126
ENSG00000064270	ATP2C2	"ATPase, Ca++ transporting, type 2C, member 2 [Source:HGNC Symbol;Acc:29103]"	9914		Hs.679159
ENSG00000064666	CNN2	calponin 2 [Source:HGNC Symbol;Acc:2156]	1265	BAG62450	Hs.651512
ENSG00000064995	TAF11	"TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa [Source:HGNC Symbol;Acc:11544]"	6882	BAA23620	Hs.666624
ENSG00000065243	PKN2	protein kinase N2 [Source:HGNC Symbol;Acc:9406]	5586		Hs.703016
ENSG00000065361	ERBB3	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3 [Source:HGNC Symbol;Acc:3431]	2065	BAG54127	Hs.622058
ENSG00000065518	NDUFB4	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa [Source:HGNC Symbol;Acc:7699]"	4710		
ENSG00000065882	TBC1D1	"TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1 [Source:HGNC Symbol;Acc:11578]"	23216		Hs.742130
ENSG00000065923	SLC9A7	"solute carrier family 9, subfamily A (NHE7, cation proton antiporter 7), member 7 [Source:HGNC Symbol;Acc:17123]"	84679	CAI43015	Hs.91389
ENSG00000066468	FGFR2	fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:3689]	2263	AAB19323	Hs.736928
ENSG00000067066	SP100	SP100 nuclear antigen [Source:HGNC Symbol;Acc:11206]	6672		Hs.369056
ENSG00000067191	CACNB1	"calcium channel, voltage-dependent, beta 1 subunit [Source:HGNC Symbol;Acc:1401]"	782	AAA35633	Hs.635
ENSG00000067445	TRO	trophinin [Source:HGNC Symbol;Acc:12326]	7216	EAW93205	Hs.743294
ENSG00000067840	PDZD4	PDZ domain containing 4 [Source:HGNC Symbol;Acc:21167]	57595	EAW72802	Hs.726402
ENSG00000068028	RASSF1	Ras association (RalGDS/AF-6) domain family member 1 [Source:HGNC Symbol;Acc:9882]	11186	ABD97859	Hs.476270
ENSG00000068078	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:3690]	2261	AAM22079	Hs.1420
ENSG00000068079	IFI35	interferon-induced protein 35 [Source:HGNC Symbol;Acc:5399]	3430	AAB61703	Hs.604861
ENSG00000068366	ACSL4	acyl-CoA synthetase long-chain family member 4 [Source:HGNC Symbol;Acc:3571]	2182		Hs.660281
ENSG00000068615	REEP1	receptor accessory protein 1 [Source:HGNC Symbol;Acc:25786]	65055		Hs.622683
ENSG00000068650	ATP11A	"ATPase, class VI, type 11A [Source:HGNC Symbol;Acc:13552]"	23250	CAH56364	Hs.713345
ENSG00000069206	ADAM7	ADAM metallopeptidase domain 7 [Source:HGNC Symbol;Acc:214]	8756		Hs.116147
ENSG00000069424	KCNAB2	"potassium voltage-gated channel, shaker-related subfamily, beta member 2 [Source:HGNC Symbol;Acc:6229]"	8514	AAI10352	Hs.735032
ENSG00000069974	RAB27A	"RAB27A, member RAS oncogene family [Source:HGNC Symbol;Acc:9766]"	5873		Hs.654978
ENSG00000070087	PFN2	profilin 2 [Source:HGNC Symbol;Acc:8882]	5217		Hs.91747
ENSG00000070214	SLC44A1	"solute carrier family 44 (choline transporter), member 1 [Source:HGNC Symbol;Acc:18798]"	23446		Hs.744460
ENSG00000070367	EXOC5	exocyst complex component 5 [Source:HGNC Symbol;Acc:10696]	10640		Hs.743987
ENSG00000070371	CLTCL1	"clathrin, heavy chain-like 1 [Source:HGNC Symbol;Acc:2093]"	8218		Hs.740118
ENSG00000070778	PTPN21	"protein tyrosine phosphatase, non-receptor type 21 [Source:HGNC Symbol;Acc:9651]"	11099		Hs.714058
ENSG00000070831	CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:1736]	998		Hs.720458
ENSG00000071127	WDR1	WD repeat domain 1 [Source:HGNC Symbol;Acc:12754]	9948		Hs.128548
ENSG00000072110	ACTN1	"actinin, alpha 1 [Source:HGNC Symbol;Acc:163]"	87	BAG61357	Hs.653481
ENSG00000072121	ZFYVE26	"zinc finger, FYVE domain containing 26 [Source:HGNC Symbol;Acc:20761]"	23503	AAH08927	Hs.630977
ENSG00000072609	CHFR	"checkpoint with forkhead and ring finger domains, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:20455]"	55743	AAF91084	Hs.720197
ENSG00000072840	EVC	Ellis van Creveld syndrome [Source:HGNC Symbol;Acc:3497]	2121	AAY41049	Hs.646899
ENSG00000072858	SIDT1	"SID1 transmembrane family, member 1 [Source:HGNC Symbol;Acc:25967]"	54847		Hs.591291
ENSG00000073670	ADAM11	ADAM metallopeptidase domain 11 [Source:HGNC Symbol;Acc:189]	4185	BAG59144	Hs.6088
ENSG00000073734	ABCB11	"ATP-binding cassette, sub-family B (MDR/TAP), member 11 [Source:HGNC Symbol;Acc:42]"	8647		Hs.658439
ENSG00000073754	CD5L	CD5 molecule-like [Source:HGNC Symbol;Acc:1690]	922	AAB91989	Hs.134035
ENSG00000073921	PICALM	phosphatidylinositol binding clathrin assembly protein [Source:HGNC Symbol;Acc:15514]	8301	BAG59583	Hs.163893
ENSG00000074317	SNCB	"synuclein, beta [Source:HGNC Symbol;Acc:11140]"	6620	AEQ54756	
ENSG00000074660	SCARF1	"scavenger receptor class F, member 1 [Source:HGNC Symbol;Acc:16820]"	8578		Hs.647430
ENSG00000074800	ENO1	"enolase 1, (alpha) [Source:HGNC Symbol;Acc:3350]"	2023		Hs.517145
ENSG00000074855	ANO8	anoctamin 8 [Source:HGNC Symbol;Acc:29329]	57719	BAB13449	Hs.590990
ENSG00000075073	TACR2	tachykinin receptor 2 [Source:HGNC Symbol;Acc:11527]	6865	AAC31760	Hs.88372
ENSG00000075426	FOSL2	FOS-like antigen 2 [Source:HGNC Symbol;Acc:3798]	2355		Hs.696748
ENSG00000075624	ACTB	"actin, beta [Source:HGNC Symbol;Acc:132]"	60		Hs.731069
ENSG00000075711	DLG1	"discs, large homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:2900]"	1739		Hs.706736
ENSG00000075891	PAX2	paired box 2 [Source:HGNC Symbol;Acc:8616]	5076	AAN77899	Hs.155644
ENSG00000075975	MKRN2	makorin ring finger protein 2 [Source:HGNC Symbol;Acc:7113]	23609		Hs.667635
ENSG00000076108	BAZ2A	"bromodomain adjacent to zinc finger domain, 2A [Source:HGNC Symbol;Acc:962]"	11176		Hs.733241
ENSG00000076344	RGS11	regulator of G-protein signaling 11 [Source:HGNC Symbol;Acc:9993]	8786	BAH11656	Hs.65756
ENSG00000076604	TRAF4	TNF receptor-associated factor 4 [Source:HGNC Symbol;Acc:12034]	9618		Hs.8375
ENSG00000076706	MCAM	melanoma cell adhesion molecule [Source:HGNC Symbol;Acc:6934]	4162	AAA20824	Hs.732702
ENSG00000076864	RAP1GAP	RAP1 GTPase activating protein [Source:HGNC Symbol;Acc:9858]	5909	EAW94984	Hs.148178
ENSG00000077092	RARB	"retinoic acid receptor, beta [Source:HGNC Symbol;Acc:9865]"	5915	BAG61645	Hs.654490
ENSG00000077420	APBB1IP	"amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein [Source:HGNC Symbol;Acc:17379]"	54518	AAH35636	
ENSG00000077942	FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:3600]	2192	CAA37770	
ENSG00000078018	MAP2	microtubule-associated protein 2 [Source:HGNC Symbol;Acc:6839]	4133	BAD92567	Hs.736133
ENSG00000078053	AMPH	amphiphysin [Source:HGNC Symbol;Acc:471]	273		Hs.592182
ENSG00000078081	LAMP3	lysosomal-associated membrane protein 3 [Source:HGNC Symbol;Acc:14582]	27074		Hs.619233
ENSG00000078098	FAP	"fibroblast activation protein, alpha [Source:HGNC Symbol;Acc:3590]"	2191	BAG59624	Hs.654370
ENSG00000078114	NEBL	nebulette [Source:HGNC Symbol;Acc:16932]	10529	BAG58008	Hs.609027
ENSG00000078269	SYNJ2	synaptojanin 2 [Source:HGNC Symbol;Acc:11504]	8871	BAG58960	Hs.616825
ENSG00000078304	PPP2R5C	"protein phosphatase 2, regulatory subunit B', gamma [Source:HGNC Symbol;Acc:9311]"	5527	AAL14777	Hs.733086
ENSG00000078403	MLLT10	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10 [Source:HGNC Symbol;Acc:16063]"	8028		Hs.593855
ENSG00000079257	LXN	latexin [Source:HGNC Symbol;Acc:13347]	56925	AAP97162	Hs.707022
ENSG00000079263	SP140	SP140 nuclear body protein [Source:HGNC Symbol;Acc:17133]	11262	EAW70922	Hs.632549
ENSG00000079335	CDC14A	cell division cycle 14A [Source:HGNC Symbol;Acc:1718]	8556	AAB88277	Hs.127411
ENSG00000079337	RAPGEF3	Rap guanine nucleotide exchange factor (GEF) 3 [Source:HGNC Symbol;Acc:16629]	10411		Hs.8578
ENSG00000079385	CEACAM1	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein) [Source:HGNC Symbol;Acc:1814]	634		Hs.512682
ENSG00000079432	CIC	capicua transcriptional repressor [Source:HGNC Symbol;Acc:14214]	23152	AAK73515	Hs.388236
ENSG00000079435	LIPE	"lipase, hormone-sensitive [Source:HGNC Symbol;Acc:6621]"	3991		Hs.656980
ENSG00000079819	EPB41L2	erythrocyte membrane protein band 4.1-like 2 [Source:HGNC Symbol;Acc:3379]	2037	CAC17607	Hs.486470
ENSG00000080166	DCT	dopachrome tautomerase [Source:HGNC Symbol;Acc:2709]	1638		Hs.301865
ENSG00000080503	SMARCA2	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 [Source:HGNC Symbol;Acc:11098]"	6595	BAG60343	Hs.298990
ENSG00000080603	SRCAP	Snf2-related CREBBP activator protein [Source:HGNC Symbol;Acc:16974]	10847	BAK64152	Hs.627410
ENSG00000080824	HSP90AA1	"heat shock protein 90kDa alpha (cytosolic), class A member 1 [Source:HGNC Symbol;Acc:5253]"	3320	CAD62296	Hs.741646
ENSG00000081014	AP4E1	"adaptor-related protein complex 4, epsilon 1 subunit [Source:HGNC Symbol;Acc:573]"	23431	AAD43326	Hs.644559
ENSG00000081041	CXCL2	chemokine (C-X-C motif) ligand 2 [Source:HGNC Symbol;Acc:4603]	2920	AAA03453	Hs.719458
ENSG00000081138	CDH7	"cadherin 7, type 2 [Source:HGNC Symbol;Acc:1766]"	1005		Hs.657522
ENSG00000081148	IMPG2	interphotoreceptor matrix proteoglycan 2 [Source:HGNC Symbol;Acc:18362]	50939	BAJ84067	Hs.209249
ENSG00000081853	PCDHGA2	"protocadherin gamma subfamily A, 2 [Source:HGNC Symbol;Acc:8700]"	56113	AAH04321	
ENSG00000082074	FYB	FYN binding protein [Source:HGNC Symbol;Acc:4036]	2533		Hs.628155
ENSG00000082153	BZW1	basic leucine zipper and W2 domains 1 [Source:HGNC Symbol;Acc:18380]	9689	EAW79586	Hs.713850
ENSG00000082516	GEMIN5	gem (nuclear organelle) associated protein 5 [Source:HGNC Symbol;Acc:20043]	25929	AAH36894	Hs.483921
ENSG00000082996	RNF13	ring finger protein 13 [Source:HGNC Symbol;Acc:10057]	11342	BAG52224	Hs.12333
ENSG00000083799	CYLD	cylindromatosis (turban tumor syndrome) [Source:HGNC Symbol;Acc:2584]	1540	CAB93533	Hs.693214
ENSG00000084110	HAL	histidine ammonia-lyase [Source:HGNC Symbol;Acc:4806]	3034		Hs.742210
ENSG00000084453	SLCO1A2	"solute carrier organic anion transporter family, member 1A2 [Source:HGNC Symbol;Acc:10956]"	6579		Hs.740003
ENSG00000084734	GCKR	glucokinase (hexokinase 4) regulator [Source:HGNC Symbol;Acc:4196]	2646		Hs.89771
ENSG00000085276	MECOM	MDS1 and EVI1 complex locus [Source:HGNC Symbol;Acc:3498]	2122	EAW78552	Hs.744090
ENSG00000085449	WDFY1	WD repeat and FYVE domain containing 1 [Source:HGNC Symbol;Acc:20451]	57590		Hs.720522
ENSG00000085514	PILRA	paired immunoglobin-like type 2 receptor alpha [Source:HGNC Symbol;Acc:20396]	29992	AAD52964	
ENSG00000085978	ATG16L1	autophagy related 16-like 1 (S. cerevisiae) [Source:HGNC Symbol;Acc:21498]	55054	AAI43901	Hs.529322
ENSG00000086065	CHMP5	charged multivesicular body protein 5 [Source:HGNC Symbol;Acc:26942]	51510	AAD27743	Hs.635313
ENSG00000086205	FOLH1	folate hydrolase (prostate-specific membrane antigen) 1 [Source:HGNC Symbol;Acc:3788]	2346		Hs.654487
ENSG00000086506	HBQ1	"hemoglobin, theta 1 [Source:HGNC Symbol;Acc:4833]"	3049	CAA29776	Hs.247921
